handle,user_id,total,active_user,kernel,GMV
atoulme,62468,5747239600000000327680,110949600000000000000,0,5636290000000000196608
sammdec,126062,5638210000000000196608,11180000000000000000,0,5627030000000000065536
liz315,77305,5660400899999999721472,41470900000000000000,0,5618929999999999672320
daneok1,72572,6272449499997999726592,671159499999000002560,0,5601289999998999592960
robin-thomas,19943,5697836600000000294912,165056600000000000000,0,5532780000000000131072
wighawag,4244,6561499999999000313856,1029489999999999934464,0,5532009999998999592960
409h,141,5888122099998000152576,360682099998999969792,0,5527439999999000182784
willyogo,54770,6705840000000000524288,1181560000000000000000,0,5524280000000000262144
mybit-coordinator,16181,6182452599998999691264,708082599999000018944,0,5474370000000000196608
danbainbridge,79921,5473512799999000313856,14402800000000000000,0,5459109999999000248320
b-mueller,3858,6566659999999000051712,1107900000000000000000,0,5458759999999000444928
ethereumcn,73034,5900435499998999740416,459635499999000002560,0,5440800000000000000000
