Handle,Share of Active Users,Tokens Allocated
941ixuexi,0.00143%,43.60717
sumocats,0.00143%,43.60717
www941xue,0.00143%,43.60717
santiagodecl,0.00143%,43.60717
jzens,0.00143%,43.60717
pholoubek,0.00143%,43.60717
0xsmen,0.00143%,43.60717
salix88,0.00143%,43.60717
72521,0.00143%,43.60717
rajeshravi-pixel,0.00143%,43.60717
peterross-hash,0.00143%,43.60717
jxavier200,0.00143%,43.60717
giant09,0.00143%,43.60717
gvonbergen,0.00143%,43.60717
crazydingo10,0.00143%,43.60717
prohg,0.00143%,43.60717
fanxiaoxiao1220,0.00143%,43.60717
raghavb,0.00143%,43.60717
luke99557,0.00143%,43.60717
carl05,0.00143%,43.60717
wangfengjin,0.00143%,43.60717
buulong,0.00143%,43.60717
theezypro11,0.00143%,43.60717
nbssoutman,0.00143%,43.60717
sarahjliu,0.00143%,43.60717
madiba3,0.00143%,43.60717
salekripta,0.00143%,43.60717
madiba2,0.00143%,43.60717
bronson22,0.00143%,43.60717
bradleyb5155,0.00143%,43.60717
kcminer,0.00143%,43.60717
payne22m,0.00143%,43.60717
rezniktetsuo,0.00143%,43.60717
jiraiya23,0.00143%,43.60717
bhaktofbitcoin,0.00143%,43.60717
cadabreech,0.00143%,43.60717
timelearnnews,0.00143%,43.60717
theoldmountainhermit,0.00143%,43.60717
ninagolovnia,0.00143%,43.60717
pct1312,0.00143%,43.60717
ergokhaner,0.00143%,43.60717
achacong,0.00143%,43.60717
vojtch159,0.00143%,43.60717
soumitradey8,0.00143%,43.60717
mandyohhh,0.00143%,43.60717
thierrhenry14,0.00143%,43.60717
lokji,0.00143%,43.60717
liamdemeter,0.00143%,43.60717
dengzhaojun,0.00143%,43.60717
yizhilee,0.00143%,43.60717
stephancill,0.00143%,43.60717
fishnchipsj,0.00143%,43.60717
jimmy19841117,0.00143%,43.60717
hefengxuyang,0.00143%,43.60717
fabianlorenzob,0.00143%,43.60717
ambinem06,0.00143%,43.60717
arevalo237,0.00143%,43.60717
worldgreatwst01,0.00143%,43.60717
erdi3335,0.00143%,43.60717
luoxiaobai66,0.00143%,43.60717
beyfeyo,0.00143%,43.60717
dmcryptog,0.00143%,43.60717
samsung1999,0.00143%,43.60717
hlchien88,0.00143%,43.60717
pgg2021,0.00143%,43.60717
sergeymtv,0.00143%,43.60717
sop30phia,0.00143%,43.60717
catjc006,0.00143%,43.60717
wolfeth,0.00143%,43.60717
nihao222111,0.00143%,43.60717
z363422817,0.00143%,43.60717
natewongchoeris,0.00143%,43.60717
lesya06,0.00143%,43.60717
tmark446,0.00143%,43.60717
jackychanzh,0.00143%,43.60717
ykylyg007,0.00143%,43.60717
sephirothlt,0.00143%,43.60717
debugchess,0.00143%,43.60717
becklyn07,0.00143%,43.60717
aidalamrissi,0.00143%,43.60717
santivan,0.00143%,43.60717
biboudam,0.00143%,43.60717
mandydandy,0.00143%,43.60717
thecrp,0.00143%,43.60717
bruceleepy,0.00143%,43.60717
wewoche,0.00143%,43.60717
hewei111,0.00143%,43.60717
travaldar,0.00143%,43.60717
paulg077,0.00143%,43.60717
christinejay08,0.00143%,43.60717
loop3rkrai,0.00143%,43.60717
keepcoin,0.00143%,43.60717
catjc007,0.00143%,43.60717
yesbitcanada,0.00143%,43.60717
lafourkad,0.00143%,43.60717
cassini2008,0.00143%,43.60717
kryptohoonter,0.00143%,43.60717
0xnikhil,0.00143%,43.60717
b6954715,0.00143%,43.60717
jyking520,0.00143%,43.60717
wei0315,0.00143%,43.60717
harurukki,0.00143%,43.60717
alelliott,0.00143%,43.60717
stephenmullens,0.00143%,43.60717
jadevo46,0.00143%,43.60717
yc3517,0.00143%,43.60717
babiore,0.00143%,43.60717
ccrcharlie,0.00143%,43.60717
baranovvladislav,0.00143%,43.60717
taku17835,0.00143%,43.60717
mountirith,0.00143%,43.60717
ryuichi007,0.00143%,43.60717
budun900005198,0.00143%,43.60717
baohuan8021,0.00143%,43.60717
bayofdolphins,0.00143%,43.60717
chainao451,0.00143%,43.60717
j-p-dev,0.00143%,43.60717
wangkan448,0.00143%,43.60717
biehantui,0.00143%,43.60717
emekasegu,0.00143%,43.60717
jiangya670,0.00143%,43.60717
ywwen-github,0.00143%,43.60717
profesee,0.00143%,43.60717
kingrasha,0.00143%,43.60717
ojiila,0.00143%,43.60717
alolmaugh,0.00143%,43.60717
cherryhr,0.00143%,43.60717
skylar745,0.00143%,43.60717
lelxe,0.00143%,43.60717
peternovel99,0.00143%,43.60717
standude13,0.00143%,43.60717
mortenx7,0.00143%,43.60717
batblue,0.00143%,43.60717
nilsmw,0.00143%,43.60717
myownass,0.00143%,43.60717
zjicmhahah,0.00143%,43.60717
cryptoadvice247,0.00143%,43.60717
bilolo31,0.00143%,43.60717
xmrcheck,0.00143%,43.60717
btcsucellus,0.00143%,43.60717
joe82834,0.00143%,43.60717
aztecprincess,0.00143%,43.60717
mtt007,0.00143%,43.60717
deanwan80,0.00143%,43.60717
dylandassen,0.00143%,43.60717
tolani-kitan,0.00143%,43.60717
dmitriu77,0.00143%,43.60717
coutience,0.00143%,43.60717
hasanaltas3,0.00143%,43.60717
stockaddict,0.00143%,43.60717
jamesraw,0.00143%,43.60717
lsccnd31,0.00143%,43.60717
lrod-101,0.00143%,43.60717
mrhgx,0.00143%,43.60717
krzys1ek,0.00143%,43.60717
shenstone-peng,0.00143%,43.60717
vaisamiul,0.00143%,43.60717
veeart,0.00143%,43.60717
lic99,0.00143%,43.60717
kieranr90,0.00143%,43.60717
facert,0.00143%,43.60717
t-adamz,0.00143%,43.60717
matt23x,0.00143%,43.60717
jixie7840987,0.00143%,43.60717
ij4826,0.00143%,43.60717
ianshen,0.00143%,43.60717
platocrat,0.00143%,43.60717
martincho326,0.00143%,43.60717
2.77E+08,0.00143%,43.60717
redline133,0.00143%,43.60717
1982qiuzhen,0.00143%,43.60717
hrkw-lab,0.00143%,43.60717
bing4,0.00143%,43.60717
allguccimane,0.00143%,43.60717
tbaloglu,0.00143%,43.60717
m4dj0k3r,0.00143%,43.60717
wgzhang,0.00143%,43.60717
olddriver-m,0.00143%,43.60717
henongqua,0.00143%,43.60717
murphy20777,0.00143%,43.60717
cuddlykitten88,0.00143%,43.60717
qiudui46,0.00143%,43.60717
jeddite44,0.00143%,43.60717
bluehimmel,0.00143%,43.60717
murphy20666,0.00143%,43.60717
sunilvm99,0.00143%,43.60717
rektfoodfarmer,0.00143%,43.60717
flischh,0.00143%,43.60717
cryptogod98,0.00143%,43.60717
forget15,0.00143%,43.60717
cooladam201212,0.00143%,43.60717
murphy20555,0.00143%,43.60717
luofei0755,0.00143%,43.60717
linggyunt,0.00143%,43.60717
nbscnd,0.00143%,43.60717
dreptroy,0.00143%,43.60717
0xgodkisaiyan,0.00143%,43.60717
jt1010,0.00143%,43.60717
williamlin910403,0.00143%,43.60717
saltypalo,0.00143%,43.60717
3nginia,0.00143%,43.60717
sunshuaiwm,0.00143%,43.60717
rcsutton,0.00143%,43.60717
donocelotl,0.00143%,43.60717
liruoxu,0.00143%,43.60717
danielbyon,0.00143%,43.60717
ihu-uhi,0.00143%,43.60717
dams32,0.00143%,43.60717
rodtam,0.00143%,43.60717
13darko,0.00143%,43.60717
braveheartlion,0.00143%,43.60717
talk-3r,0.00143%,43.60717
metamasksen,0.00143%,43.60717
l603332261,0.00143%,43.60717
susan4098,0.00143%,43.60717
meikecoco,0.00143%,43.60717
yuanmizi,0.00143%,43.60717
jhawdon,0.00143%,43.60717
fordwright,0.00143%,43.60717
kushalpa,0.00143%,43.60717
jeroenboots,0.00143%,43.60717
cobycorndog,0.00143%,43.60717
ryanle-gamo,0.00143%,43.60717
wenchaotan,0.00143%,43.60717
geodesix,0.00143%,43.60717
murphy20333,0.00143%,43.60717
carambax,0.00143%,43.60717
slin784478709,0.00143%,43.60717
jan170,0.00143%,43.60717
sammieobong,0.00143%,43.60717
ghgbf,0.00143%,43.60717
wsderf,0.00143%,43.60717
leokira997,0.00143%,43.60717
a132016,0.00143%,43.60717
jukjh,0.00143%,43.60717
liuyongyou1027,0.00143%,43.60717
pedrorierab,0.00143%,43.60717
node-n,0.00143%,43.60717
ken1704,0.00143%,43.60717
a132015,0.00143%,43.60717
charleszhu661,0.00143%,43.60717
guskinvolodya,0.00143%,43.60717
shoesize,0.00143%,43.60717
tyc4852492,0.00143%,43.60717
jim19770812,0.00143%,43.60717
cyg1975,0.00143%,43.60717
tuxedoshoe,0.00143%,43.60717
lnkkk,0.00143%,43.60717
chujiannan,0.00143%,43.60717
df15888,0.00143%,43.60717
lisa222222,0.00143%,43.60717
a132014,0.00143%,43.60717
rolledup,0.00143%,43.60717
jeffmat12,0.00143%,43.60717
ikabankin,0.00143%,43.60717
cryptoerin,0.00143%,43.60717
gritli2021,0.00143%,43.60717
reelitin,0.00143%,43.60717
defiking,0.00143%,43.60717
mmmgoodfish,0.00143%,43.60717
gnarcard3,0.00143%,43.60717
iantheitguy,0.00143%,43.60717
lr4060,0.00143%,43.60717
lizz0010,0.00143%,43.60717
a132013,0.00143%,43.60717
qx9130,0.00143%,43.60717
nuno-ops,0.00143%,43.60717
zhangsj,0.00143%,43.60717
shailesh549,0.00143%,43.60717
a132012,0.00143%,43.60717
fria-green,0.00143%,43.60717
recr8ing1,0.00143%,43.60717
borisitod,0.00143%,43.60717
a132011,0.00143%,43.60717
veekz808,0.00143%,43.60717
majikcat,0.00143%,43.60717
hamzeto938,0.00143%,43.60717
ienndoe,0.00143%,43.60717
tidesk,0.00143%,43.60717
guixiang622,0.00143%,43.60717
0xpanda,0.00143%,43.60717
azuma-z,0.00143%,43.60717
lubi2019091113,0.00143%,43.60717
vvsd666,0.00143%,43.60717
drmtaha,0.00143%,43.60717
lubi2019091115,0.00143%,43.60717
a132010,0.00143%,43.60717
stephenqi,0.00143%,43.60717
macrocan,0.00143%,43.60717
quangnguyen2212,0.00143%,43.60717
leilalin123,0.00143%,43.60717
li444753596,0.00143%,43.60717
jlward953,0.00143%,43.60717
ray-bans,0.00143%,43.60717
ournier,0.00143%,43.60717
daoasset,0.00143%,43.60717
mrkss21,0.00143%,43.60717
unb0rn-squared,0.00143%,43.60717
woshichushen,0.00143%,43.60717
colliseum2006,0.00143%,43.60717
bbg463,0.00143%,43.60717
libhjt888,0.00143%,43.60717
lane2,0.00143%,43.60717
raykayray,0.00143%,43.60717
mcfemi6,0.00143%,43.60717
alekseibalakirev,0.00143%,43.60717
testingoblin,0.00143%,43.60717
getmegone,0.00143%,43.60717
zaitsevwork,0.00143%,43.60717
cinpiano,0.00143%,43.60717
taylorjames,0.00143%,43.60717
anushrik,0.00143%,43.60717
tu54988,0.00143%,43.60717
zxxqq111,0.00143%,43.60717
jsantos7,0.00143%,43.60717
nikhil-ramg,0.00143%,43.60717
jk234ert,0.00143%,43.60717
laurawh81572760,0.00143%,43.60717
fb3208,0.00143%,43.60717
uv1017,0.00143%,43.60717
dongfangziben,0.00143%,43.60717
biffwellington,0.00143%,43.60717
ur6088,0.00143%,43.60717
zy0893,0.00143%,43.60717
b-o-a-t,0.00143%,43.60717
zerochl,0.00143%,43.60717
fabgetget,0.00143%,43.60717
cryptokyyd,0.00143%,43.60717
weg785,0.00143%,43.60717
qwef785234,0.00143%,43.60717
fqe7857452,0.00143%,43.60717
developemancer,0.00143%,43.60717
terrygarcia2009,0.00143%,43.60717
wefwerf863,0.00143%,43.60717
clemzyzone,0.00143%,43.60717
d0nsly,0.00143%,43.60717
cryptnoir,0.00143%,43.60717
az1949101,0.00143%,43.60717
werfg8563523,0.00143%,43.60717
stephinnoyewole,0.00143%,43.60717
efwfwef7852,0.00143%,43.60717
goforkyojin,0.00143%,43.60717
evanrobles,0.00143%,43.60717
perfectsuccess,0.00143%,43.60717
ibrash600,0.00143%,43.60717
oyiwelens,0.00143%,43.60717
vjm4032,0.00143%,43.60717
qwegwrg752,0.00143%,43.60717
88888888jujufyufgyui,0.00143%,43.60717
enawero,0.00143%,43.60717
ojiide,0.00143%,43.60717
lidamaohub,0.00143%,43.60717
disncrypto,0.00143%,43.60717
dagewolaile,0.00143%,43.60717
cdschwartz,0.00143%,43.60717
456456456qwef,0.00143%,43.60717
globalyou,0.00143%,43.60717
oyetunde1,0.00143%,43.60717
ginalou0mucay,0.00143%,43.60717
dagwunobi,0.00143%,43.60717
sapphire16,0.00143%,43.60717
uplifted,0.00143%,43.60717
oneandonlynameless,0.00143%,43.60717
colbyg333,0.00143%,43.60717
aaby5201314,0.00143%,43.60717
aoyuela,0.00143%,43.60717
wergh7856,0.00143%,43.60717
prominetwork,0.00143%,43.60717
qwefg7852,0.00143%,43.60717
ufhouck,0.00143%,43.60717
ptovsti82,0.00143%,43.60717
ewdfghjffg,0.00143%,43.60717
346wefwef,0.00143%,43.60717
fgqew8538,0.00143%,43.60717
snowymaple,0.00143%,43.60717
asedg823,0.00143%,43.60717
hold20092009,0.00143%,43.60717
bit-rich,0.00143%,43.60717
wefwe85785,0.00143%,43.60717
sdv7827853,0.00143%,43.60717
rfgdrfgd4,0.00143%,43.60717
lhaojie16,0.00143%,43.60717
gsrgd85633,0.00143%,43.60717
yunyandeng,0.00143%,43.60717
zomluc,0.00143%,43.60717
html5col,0.00143%,43.60717
wefw852,0.00143%,43.60717
fwef7785,0.00143%,43.60717
eddiedeans,0.00143%,43.60717
brutal84,0.00143%,43.60717
785qrwqwerf,0.00143%,43.60717
hellodefi,0.00143%,43.60717
fwwfertbh8963,0.00143%,43.60717
vadssd7852,0.00143%,43.60717
fafe78963,0.00143%,43.60717
3erg8563,0.00143%,43.60717
lhaojie15,0.00143%,43.60717
weerfwegr563,0.00143%,43.60717
1565yjtgyuk,0.00143%,43.60717
qefgw8989896,0.00143%,43.60717
wegwerg7578523,0.00143%,43.60717
vl6728,0.00143%,43.60717
sdfvgsdf575786,0.00143%,43.60717
letuchiytolya,0.00143%,43.60717
sliencedogood,0.00143%,43.60717
wegrwet7852,0.00143%,43.60717
sp364,0.00143%,43.60717
dgold15,0.00143%,43.60717
mikemc518,0.00143%,43.60717
geergerg896896896,0.00143%,43.60717
lhaojie14,0.00143%,43.60717
awsgevger896896896,0.00143%,43.60717
dfbhdthft8585,0.00143%,43.60717
gererge86363,0.00143%,43.60717
far5228783,0.00143%,43.60717
efgwwefg,0.00143%,43.60717
lhaoj13,0.00143%,43.60717
faewef85,0.00143%,43.60717
fergergerg,0.00143%,43.60717
awqaweffea785,0.00143%,43.60717
qwefqwdfqwff,0.00143%,43.60717
sdffsd7578,0.00143%,43.60717
slashiik,0.00143%,43.60717
lifuxin,0.00143%,43.60717
phwq9969477fanl,0.00143%,43.60717
t6posh,0.00143%,43.60717
lhaojie12,0.00143%,43.60717
fwefwefwef258,0.00143%,43.60717
qdfwfqwf888,0.00143%,43.60717
heezymd,0.00143%,43.60717
74523452345dvdfv,0.00143%,43.60717
hqtwenty0ne,0.00143%,43.60717
blatata,0.00143%,43.60717
vnholic,0.00143%,43.60717
lhaojie11,0.00143%,43.60717
vavsddfdfv,0.00143%,43.60717
joshua9192,0.00143%,43.60717
yesir68,0.00143%,43.60717
banizai,0.00143%,43.60717
dnin2256301c,0.00143%,43.60717
bob412,0.00143%,43.60717
joshtharakan,0.00143%,43.60717
leonidasalopayeva,0.00143%,43.60717
soccerpla,0.00143%,43.60717
wuya0532,0.00143%,43.60717
lucy412,0.00143%,43.60717
lynnchen320,0.00143%,43.60717
joshcoin,0.00143%,43.60717
puwh13345275duanw,0.00143%,43.60717
jon-clifton,0.00143%,43.60717
cannatek,0.00143%,43.60717
minhmomo,0.00143%,43.60717
rober7293,0.00143%,43.60717
avilka,0.00143%,43.60717
1.57E+10,0.00143%,43.60717
qq143386,0.00143%,43.60717
mi2valley,0.00143%,43.60717
woniu1576,0.00143%,43.60717
semiolis,0.00143%,43.60717
hayes4defi,0.00143%,43.60717
shanjiefengyi01,0.00143%,43.60717
edobkin1,0.00143%,43.60717
defiventurez,0.00143%,43.60717
riskyfire,0.00143%,43.60717
bcjcodes,0.00143%,43.60717
olasquare271,0.00143%,43.60717
inorman500,0.00143%,43.60717
ssaketh99,0.00143%,43.60717
zhp562176325,0.00143%,43.60717
cryptojoy,0.00143%,43.60717
asmithchicago,0.00143%,43.60717
invisible4d,0.00143%,43.60717
tissime,0.00143%,43.60717
asd010609,0.00143%,43.60717
sleekie,0.00143%,43.60717
justwant2code,0.00143%,43.60717
watpalders,0.00143%,43.60717
crispony,0.00143%,43.60717
koushuiluanwu,0.00143%,43.60717
cmnkobo,0.00143%,43.60717
acestyler,0.00143%,43.60717
paraskumar224,0.00143%,43.60717
benadamsyes,0.00143%,43.60717
alphagenesisboi,0.00143%,43.60717
ilrata,0.00143%,43.60717
weyeoner,0.00143%,43.60717
ozestergi,0.00143%,43.60717
kewortene,0.00143%,43.60717
merkow11,0.00143%,43.60717
phinnyliz,0.00143%,43.60717
rjrrpe,0.00143%,43.60717
lofnctsai,0.00143%,43.60717
cometsnest,0.00143%,43.60717
violateaq,0.00143%,43.60717
dunghung,0.00143%,43.60717
os994,0.00143%,43.60717
0xms,0.00143%,43.60717
frogheart1,0.00143%,43.60717
antoinepicard1,0.00143%,43.60717
stalkerant1,0.00143%,43.60717
blacknight2u,0.00143%,43.60717
krysto-proxy,0.00143%,43.60717
aniato,0.00143%,43.60717
kittehdesign,0.00143%,43.60717
feizylong,0.00143%,43.60717
harley0124,0.00143%,43.60717
sinkblack1986,0.00143%,43.60717
happy1994,0.00143%,43.60717
kh-chang,0.00143%,43.60717
ri594971,0.00143%,43.60717
corrineleo,0.00143%,43.60717
erinbeesley,0.00143%,43.60717
jackshopjiang,0.00143%,43.60717
alexfgay,0.00143%,43.60717
teii131419,0.00143%,43.60717
zhaodan-dan,0.00143%,43.60717
fairdiak,0.00143%,43.60717
rui55555,0.00143%,43.60717
simonyuang20,0.00143%,43.60717
fsimonov,0.00143%,43.60717
cat5token,0.00143%,43.60717
mattdesl,0.00143%,43.60717
yff1399,0.00143%,43.60717
skelecrypto,0.00143%,43.60717
hao778,0.00143%,43.60717
kevinduan2021,0.00143%,43.60717
squanchbrdperson,0.00143%,43.60717
aokito7,0.00143%,43.60717
cryptob3,0.00143%,43.60717
qinxinyi-tanqiqi,0.00143%,43.60717
ae86back,0.00143%,43.60717
air040,0.00143%,43.60717
vasilius91,0.00143%,43.60717
andersonny,0.00143%,43.60717
singhromika,0.00143%,43.60717
aditilamkhede,0.00143%,43.60717
cryptocane,0.00143%,43.60717
dimatrader,0.00143%,43.60717
haishinaomi,0.00143%,43.60717
elpopoo,0.00143%,43.60717
sukunecchi,0.00143%,43.60717
lxx666,0.00143%,43.60717
zhangjinfa,0.00143%,43.60717
mr5,0.00143%,43.60717
ae86backon,0.00143%,43.60717
theaprilfool,0.00143%,43.60717
mrh6995,0.00143%,43.60717
nfttomoon,0.00143%,43.60717
saniaus,0.00143%,43.60717
zeminek,0.00143%,43.60717
phillex,0.00143%,43.60717
12123gg,0.00143%,43.60717
marlobot,0.00143%,43.60717
johan123z,0.00143%,43.60717
jokergametime,0.00143%,43.60717
antopib,0.00143%,43.60717
zhushili,0.00143%,43.60717
tandat97-dot,0.00143%,43.60717
tony1386,0.00143%,43.60717
kernel888,0.00143%,43.60717
examehdi,0.00143%,43.60717
ozico58,0.00143%,43.60717
yachun-noah,0.00143%,43.60717
canden-c,0.00143%,43.60717
nodify5,0.00143%,43.60717
gengyuenan50,0.00143%,43.60717
ewrewrfdsf,0.00143%,43.60717
dayangcola,0.00143%,43.60717
cadendream,0.00143%,43.60717
zoomersevntu,0.00143%,43.60717
ticaleenlx,0.00143%,43.60717
bydahi,0.00143%,43.60717
btccomgogo,0.00143%,43.60717
killakoins,0.00143%,43.60717
pisceser888,0.00143%,43.60717
okanozveran,0.00143%,43.60717
warhawk9955,0.00143%,43.60717
njog44,0.00143%,43.60717
mfuz,0.00143%,43.60717
danielpx1,0.00143%,43.60717
geniusunleashed,0.00143%,43.60717
larryhui2010,0.00143%,43.60717
kekdeployer,0.00143%,43.60717
caden6,0.00143%,43.60717
sorchaspot,0.00143%,43.60717
gizmoht,0.00143%,43.60717
julycrypto,0.00143%,43.60717
angelilu,0.00143%,43.60717
lhaojie10,0.00143%,43.60717
jiaguichong,0.00143%,43.60717
lhaojie9,0.00143%,43.60717
piquar-do,0.00143%,43.60717
missmain-defi,0.00143%,43.60717
asedewi,0.00143%,43.60717
lhaojie8,0.00143%,43.60717
durgesh728,0.00143%,43.60717
bamigbe7455,0.00143%,43.60717
yusuen0823,0.00143%,43.60717
zhangsdq,0.00143%,43.60717
ajrocpanda,0.00143%,43.60717
bygbyg,0.00143%,43.60717
wsndpy135,0.00143%,43.60717
walkiwalk,0.00143%,43.60717
ygtroiew87,0.00143%,43.60717
codyakf,0.00143%,43.60717
glamdringer,0.00143%,43.60717
tetsugan,0.00143%,43.60717
turnmugu,0.00143%,43.60717
bstametz,0.00143%,43.60717
mydanniel,0.00143%,43.60717
yama987,0.00143%,43.60717
superxu0827,0.00143%,43.60717
kongbayaoiw,0.00143%,43.60717
six-days,0.00143%,43.60717
goirish33,0.00143%,43.60717
mistermaster101,0.00143%,43.60717
bupkis3,0.00143%,43.60717
hevoter,0.00143%,43.60717
maxi1983,0.00143%,43.60717
yotoman,0.00143%,43.60717
apensaus,0.00143%,43.60717
sunnielaiche,0.00143%,43.60717
backpackingmonk,0.00143%,43.60717
hellcarl14,0.00143%,43.60717
speakupdude,0.00143%,43.60717
bio-philia,0.00143%,43.60717
anymorewarren,0.00143%,43.60717
sims2244,0.00143%,43.60717
insightsunrise,0.00143%,43.60717
vin2point0,0.00143%,43.60717
yanming52520,0.00143%,43.60717
gerd9900,0.00143%,43.60717
lillie95,0.00143%,43.60717
sims2233,0.00143%,43.60717
eufaula3,0.00143%,43.60717
supercyberbob,0.00143%,43.60717
69noobgamer69,0.00143%,43.60717
anongsa,0.00143%,43.60717
vinwosni,0.00143%,43.60717
mackle336,0.00143%,43.60717
yu2906123031,0.00143%,43.60717
meike-99,0.00143%,43.60717
nickkhu,0.00143%,43.60717
greenfoxu,0.00143%,43.60717
osagieo,0.00143%,43.60717
elivens,0.00143%,43.60717
flasheart333,0.00143%,43.60717
dcw-afk,0.00143%,43.60717
jimliu666,0.00143%,43.60717
luxueyou,0.00143%,43.60717
my2004hdst,0.00143%,43.60717
maliknaber,0.00143%,43.60717
ls13050544356,0.00143%,43.60717
nanqidemingzi,0.00143%,43.60717
hbdrfgtdfg,0.00143%,43.60717
birdbeyondl,0.00143%,43.60717
cryptoflyer,0.00143%,43.60717
tyu5231e,0.00143%,43.60717
gmoore2001,0.00143%,43.60717
madevan27,0.00143%,43.60717
manzikert111,0.00143%,43.60717
leecsbb,0.00143%,43.60717
mathje,0.00143%,43.60717
jasonzhangzj,0.00143%,43.60717
princekumar0456,0.00143%,43.60717
t-bag1609,0.00143%,43.60717
ful188,0.00143%,43.60717
cm0uncey,0.00143%,43.60717
raz26,0.00143%,43.60717
ha1o,0.00143%,43.60717
julymadness,0.00143%,43.60717
saymeowzy,0.00143%,43.60717
farid181989,0.00143%,43.60717
unlockit888,0.00143%,43.60717
cryptopelmen,0.00143%,43.60717
udumbara520,0.00143%,43.60717
canabien,0.00143%,43.60717
sngepoch333,0.00143%,43.60717
blumpcoin,0.00143%,43.60717
servette70,0.00143%,43.60717
sehven1919,0.00143%,43.60717
freshhillz,0.00143%,43.60717
leebangs,0.00143%,43.60717
epc1doznd,0.00143%,43.60717
tierneyudobot,0.00143%,43.60717
sercov,0.00143%,43.60717
1.33E+10,0.00143%,43.60717
tobalgarcia1,0.00143%,43.60717
nwxe3k,0.00143%,43.60717
winkybupt,0.00143%,43.60717
zhumingu,0.00143%,43.60717
debs-ve,0.00143%,43.60717
subarusti1972,0.00143%,43.60717
bytenovice,0.00143%,43.60717
lenepif,0.00143%,43.60717
carboclanc,0.00142%,43.58695
buibuibuibui,0.00142%,43.57772
kaddycoltt,0.00142%,43.57772
krishnanruta,0.00142%,43.57772
ayushgupta0610,0.00142%,43.57772
kbdoesnotcode,0.00142%,43.57772
antoniosehk,0.00142%,43.57772
operation-escargot,0.00142%,43.57772
kuekuatsheu95,0.00142%,43.57772
nagigithub,0.00142%,43.57772
joelarcadia,0.00142%,43.57772
unicorniopt,0.00142%,43.57772
yanganto,0.00141%,43.27237
xyony,0.00141%,43.23589
garrybakerjr,0.00141%,43.20842
hasnamus,0.00141%,43.20842
kryptocuracao,0.00141%,43.20842
merlin317,0.00141%,43.20842
kryptoklob,0.00141%,43.20842
novazembla,0.00141%,43.20842
